City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
175,Esperance,AU,2021-12-23 05:02:14,-33.8667,121.9,73.94,59,57,15.88
176,Faya,SA,2021-12-23 05:02:14,18.3851,42.4509,55.2,56,0,8.37
177,Rio Gallegos,AR,2021-12-23 05:02:14,-51.6226,-69.2181,60.37,49,53,5.17
178,Longyearbyen,SJ,2021-12-23 05:01:17,78.2186,15.6401,3.04,60,0,16.11
179,San Rafael,AR,2021-12-23 05:03:15,-34.6177,-68.3301,75.42,41,3,11.77
180,Guiyang,CN,2021-12-23 05:00:12,26.5833,106.7167,59.68,63,10,14.88
181,Portomaggiore,IT,2021-12-23 05:03:16,44.6985,11.8068,41.7,84,100,3.91
182,Port Augusta,AU,2021-12-23 05:03:16,-32.5,137.7667,95.7,29,30,19.13
183,Tiksi,RU,2021-12-23 05:03:16,71.6872,128.8694,-14.06,97,100,7.81
184,Ailigandi,PA,2021-12-23 05:03:17,9.2333,-78.0167,78.15,84,88,5.66
185,Touros,BR,2021-12-23 05:03:17,-5.1989,-35.4608,79.3,82,98,9.53
186,Wanning,CN,2021-12-23 05:03:18,18.8003,110.3967,75.61,72,98,6.13
187,Saskylakh,RU,2021-12-23 05:03:18,71.9167,114.0833,-32.91,100,37,3.2
188,Airai,TL,2021-12-23 05:03:19,-8.9266,125.4092,68.97,77,94,2.42
189,Darlowo,PL,2021-12-23 05:03:19,54.421,16.4107,30.94,78,100,13.27
190,Jinxiang,CN,2021-12-23 05:03:20,27.4327,120.6062,60.01,67,98,7.11
191,Ballina,AU,2021-12-23 05:03:20,-28.8667,153.5667,81.79,77,98,10.8
192,Khandbari,NP,2021-12-23 05:03:20,27.3747,87.2039,62.46,45,6,3.2
193,Micheweni,TZ,2021-12-23 05:03:21,-4.9667,39.8333,80.69,80,67,3.33
194,Mandalgovi,MN,2021-12-23 05:03:21,45.7625,106.2708,7.77,42,7,11.34
195,Bima,ID,2021-12-23 05:03:22,-8.4667,118.7167,91.15,59,100,5.35
