City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
501,Santa Marta,CO,81.99,few clouds,11.2408,-74.199,Casa de Isabella
502,Port Augusta,AU,77.7,clear sky,-32.5,137.7667,Majestic Oasis Apartments
506,Sabang,ID,80.76,overcast clouds,5.8933,95.3214,Hotel Citra
508,Itoman,JP,70.18,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
509,Faanui,PF,80.78,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
510,Tabou,CI,78.37,clear sky,4.423,-7.3528,hotêl doufoulougou
512,Tibacuy,CO,79.56,broken clouds,4.3511,-72.4564,hospedaje las palmas
515,Bathsheba,BB,76.73,few clouds,13.2167,-59.5167,Atlantis Hotel
516,Inirida,CO,74.64,scattered clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
517,Balangiga,PH,78.98,broken clouds,11.1097,125.3875,Country Inn Bed and Breakfast
520,Codajas,BR,76.14,overcast clouds,-3.8367,-62.0569,Atlântic Hotel
524,Nueve De Julio,AR,70.63,clear sky,-35.4444,-60.8831,Grand Hotel Libertad - GHL
526,Brusque,BR,79.09,light rain,-27.0981,-48.9175,Monthez Hotel e Eventos
537,Concepcion Del Uruguay,AR,74.98,broken clouds,-32.4825,-58.2372,Aires del Campo Cabañas y Hotel
544,Bandarbeyla,SO,76.35,scattered clouds,9.4942,50.8122,JABIR HOTEL
547,George Town,MY,80.89,few clouds,5.4112,100.3354,Cititel Penang
550,Axim,GH,79.0,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
557,Waitakere,NZ,78.85,broken clouds,-36.9175,174.6577,Waken up with birds chirping and View-double bedroom withprivate bathroom
559,Kununurra,AU,89.58,broken clouds,-15.7667,128.7333,Hotel Kununurra
563,Broken Hill,AU,76.71,clear sky,-31.95,141.4333,Royal Exchange Hotel
567,Whitianga,NZ,84.02,scattered clouds,-36.8333,175.7,Beachside Resort Whitianga
575,Morant Bay,JM,78.42,clear sky,17.8815,-76.4093,Whispering Bamboo Cove Resort
579,Puerto Baquerizo Moreno,EC,71.04,broken clouds,-0.9,-89.6,Hotel los Algarrobos
581,Isangel,VU,86.11,broken clouds,-19.55,169.2667,Tanna Lodge
587,Nortelandia,BR,73.6,overcast clouds,-14.4547,-56.8028,Hotel Karysmã
592,Hirara,JP,73.67,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
599,Kudahuvadhoo,MV,81.37,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
602,Grand Gaube,MU,77.4,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
610,Prieska,ZA,70.61,clear sky,-29.6641,22.7474,Avenue GuestHouse
612,Grand-Santi,GF,72.57,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
613,Acari,PE,72.41,clear sky,-15.4311,-74.6158,HOSPEDAJE XIMENA
615,Kinango,KE,71.94,broken clouds,-4.1372,39.3153,Legacy Hotel
616,Marica,BR,82.31,overcast clouds,-22.9194,-42.8186,Marica Hills
623,Banda Aceh,ID,77.45,overcast clouds,5.5577,95.3222,Sulthan Hotel International
626,Manoel Urbano,BR,75.25,overcast clouds,-8.8389,-69.2597,Baixada Beira Rio
627,Coahuayana,MX,83.68,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
629,Buritis,BR,70.09,heavy intensity rain,-15.6178,-46.4233,Hotel Rainha do Vale
630,Port Moresby,PG,87.22,haze,-9.4431,147.1797,Lamana Hotel (Port Moresby)
631,Mamallapuram,IN,73.45,few clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
636,Nkhotakota,MW,73.15,light rain,-12.9274,34.2961,Sitima Inn
637,Kahului,US,80.62,few clouds,20.8947,-156.47,Maui Seaside Hotel
643,Manta,EC,76.78,few clouds,-0.95,-80.7333,Balandra Hotel
645,Garissa,KE,77.99,overcast clouds,-0.4536,39.6401,Sharif Plaza Hotel
646,Armidale,AU,74.8,scattered clouds,-30.5167,151.65,Abbotsleigh Motor Inn
649,Kulhudhuffushi,MV,80.76,few clouds,6.6221,73.07,Haajy Guest House 1
650,Boke,GN,70.09,clear sky,10.9409,-14.2967,Hôtel Rio Nunez - Boké
654,Muli,MV,81.54,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
656,Manokwari,ID,78.96,moderate rain,-0.8667,134.0833,Swiss Belhotel Manokwari
657,Benguela,AO,74.59,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
659,Cabinda,AO,75.51,overcast clouds,-5.55,12.2,Hotel Maiombe
661,Hambantota,LK,75.54,scattered clouds,6.1241,81.1185,Bungalow 63
675,Wanning,CN,75.7,scattered clouds,18.8003,110.3967,Paradise Hotel
679,Port-Gentil,GA,79.25,broken clouds,-0.7193,8.7815,Fengshui Residence
686,Aquiraz,BR,81.21,overcast clouds,-3.9014,-38.3911,Pousada Rua Camurupim
694,Palu,ID,88.97,broken clouds,-0.8917,119.8707,Hotel Santika Palu
699,Sinnamary,GF,76.32,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
701,Payakumbuh,ID,82.26,scattered clouds,-0.2202,100.6308,OYO 3114 Homestay Dalimo
