City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
189,Praya,CV,14.9215,-23.5087,70.34,78,20,12.66,few clouds
190,Artyshta,RU,54.1222,86.2909,26.8,93,100,8.81,light snow
191,Bac Lieu,VN,9.285,105.7244,82.09,69,95,16.33,overcast clouds
192,Umm Lajj,SA,25.0213,37.2685,67.44,38,0,9.86,clear sky
193,Ucluelet,CA,48.9329,-125.5528,35.1,91,100,4.94,overcast clouds
194,Pevek,RU,69.7008,170.3133,14.27,86,100,9.13,overcast clouds
195,Nome,US,64.5011,-165.4064,15.87,35,1,13.8,clear sky
196,Poopo,BO,-18.3667,-66.9667,47.46,64,47,7.36,scattered clouds
197,Liverpool,GB,53.4106,-2.9779,42.75,76,75,13.0,broken clouds
198,Hit,IQ,33.6416,42.8251,51.12,37,86,0.76,overcast clouds
199,Rocha,UY,-34.4833,-54.3333,68.47,60,100,15.1,overcast clouds
200,Saint-Gabriel,CA,46.3001,-73.3824,19.22,98,100,2.86,overcast clouds
201,Cidreira,BR,-30.1811,-50.2056,74.91,93,83,5.01,broken clouds
202,Vila Velha,BR,-20.3297,-40.2925,76.95,89,75,8.01,broken clouds
203,Provideniya,RU,64.3833,-173.3,10.81,54,1,10.67,clear sky
204,Marsabit,KE,2.3284,37.9899,68.45,60,100,12.15,overcast clouds
205,Bako,ET,5.7833,36.5667,68.25,55,89,1.52,overcast clouds
206,Moindou,NC,-21.6924,165.677,78.75,67,96,2.91,overcast clouds
207,Kutum,SD,14.2,24.6667,51.35,35,52,6.71,broken clouds
208,Namibe,AO,-15.1961,12.1522,67.77,85,88,3.29,overcast clouds
209,Gat,IL,31.61,34.7642,58.41,100,68,5.3,broken clouds
210,Baghdad,IQ,33.3406,44.4009,40.91,93,80,3.44,mist
211,Valleyview,CA,55.0667,-117.2859,-25.56,68,100,4.61,overcast clouds
212,Port Elizabeth,ZA,-33.918,25.5701,71.1,88,90,18.41,overcast clouds
213,Owatonna,US,44.0839,-93.226,31.87,79,90,1.99,overcast clouds
214,Bengkulu,ID,-3.8004,102.2655,80.17,75,62,3.94,broken clouds
215,Coromandel,BR,-18.4733,-47.2003,66.43,98,100,3.33,overcast clouds
216,Port Lincoln,AU,-34.7333,135.8667,64.89,61,94,19.24,overcast clouds
217,Comodoro Rivadavia,AR,-45.8667,-67.5,55.26,71,0,4.61,clear sky
218,Eirunepe,BR,-6.6603,-69.8736,74.03,97,100,2.95,overcast clouds
219,Synya,RU,65.3718,58.0387,-11.54,98,100,3.62,overcast clouds
220,Sretensk,RU,52.2453,117.7093,-16.04,95,67,0.09,broken clouds
221,Seoul,KR,37.5683,126.9778,27.79,46,0,4.61,clear sky
222,Arman,RU,59.7,150.1667,19.02,94,100,12.66,snow
223,Lompoc,US,34.6391,-120.4579,58.14,86,90,6.91,mist
224,Saint George,US,37.1041,-113.5841,47.35,53,1,3.0,clear sky
225,Valparaiso,CL,-33.0393,-71.6273,64.04,63,0,3.44,clear sky
226,Soe,ID,-9.8607,124.284,73.99,80,100,3.96,overcast clouds
227,Qasigiannguit,GL,68.8193,-51.1922,39.45,49,98,16.31,light rain
228,Kirakira,SB,-10.4544,161.9205,84.92,74,41,10.18,scattered clouds
229,Miraflores,MX,19.2167,-98.8083,65.05,54,0,2.19,clear sky
